Response_ID,Respondent_ID,Consume_frequency_index,Consume_time_index,Consume_reason_index,Heard_before_index,Brand_perception_index,General_perception_index,Tried_before_index,Taste_experience,Reasons_preventing_trying_index,Current_brands_index,Reasons_for_choosing_brands_index,Improvements_desired_index,Ingredients_expected_index,Health_concerns_index,Interest_in_natural_or_organic,Marketing_channels_index,Packaging_preference=index,Limited_edition_packaging_index,Price_range_index,Purchase_location_index,Typical_consumption_situations_index,,,,,
103017,120047,3,3,2,1,1,3,2,4,2,6,5,4,4,2,1,2,2,2,1,1,1,,,,,
103018,120048,5,1,1,2,3,4,1,1,5,3,2,1,1,1,1,3,1,1,2,2,3,,,,,
103019,120049,4,1,5,2,1,3,2,4,2,2,2,2,2,1,2,3,1,3,1,5,3,,,,,
103020,120050,4,3,3,2,1,3,1,2,4,7,4,4,2,2,1,3,1,3,1,4,3,,,,,
103021,120051,1,3,1,1,3,4,2,3,3,5,3,2,2,2,1,3,2,3,1,2,3,,,,,
103022,120052,3,2,3,2,1,4,2,4,5,5,4,5,3,2,1,3,2,2,1,1,2,,,,,
103023,120053,2,4,1,2,2,3,2,3,2,4,3,3,2,1,1,1,1,2,1,2,2,,,,,
103024,120054,4,3,1,1,2,1,1,1,5,2,5,5,4,2,1,3,2,3,2,2,2,,,,,
103025,120055,5,3,4,1,1,3,1,3,3,4,1,5,4,2,2,5,4,3,3,3,1,,,,,
103026,120056,3,4,3,2,3,3,2,1,3,4,5,3,2,1,2,5,1,1,1,3,1,,,,,
103027,120057,4,3,2,2,1,4,2,2,2,5,5,1,4,2,2,1,2,3,1,2,2,,,,,
103028,120058,5,2,2,1,2,1,2,5,4,3,4,1,2,2,2,1,1,1,2,1,1,,,,,
103029,120059,4,3,4,2,1,4,1,3,1,7,3,1,2,1,1,3,1,1,4,4,4,,,,,
103030,120060,1,2,1,2,3,3,2,4,5,5,2,4,3,1,1,2,1,1,1,2,1,,,,,
103031,120061,5,3,3,1,1,4,2,1,2,5,5,2,2,2,2,1,2,1,3,3,2,,,,,
103032,120062,5,3,1,2,1,3,1,4,5,4,2,2,3,1,1,5,2,1,4,1,5,,,,,
103033,120063,4,3,1,2,1,4,2,3,5,6,3,4,1,2,2,1,1,1,1,1,2,,,,,
103034,120064,1,4,1,2,2,4,1,4,5,5,3,4,2,1,2,3,1,2,3,1,2,,,,,
103035,120065,1,4,4,2,1,3,2,2,3,6,1,2,3,1,2,3,1,2,1,1,3,,,,,
103036,120066,2,2,2,2,1,1,2,2,5,6,5,4,2,1,2,4,2,3,2,1,2,,,,,
103037,120067,3,3,1,2,3,3,1,3,2,4,4,2,2,2,2,4,1,1,1,2,2,,,,,
103038,120068,3,1,3,2,1,1,2,1,3,1,2,4,4,2,1,3,1,3,2,1,2,,,,,
103039,120069,1,3,2,2,1,3,2,2,2,2,1,2,3,2,2,5,1,1,1,1,1,,,,,
103040,120070,3,4,1,2,1,1,2,5,2,6,3,1,2,1,1,5,1,2,2,3,2,,,,,
103041,120071,1,2,5,2,1,4,1,3,4,2,4,4,4,2,1,3,4,2,2,1,3,,,,,
103042,120072,4,3,4,2,3,3,2,4,4,3,4,1,2,2,2,4,5,3,3,1,1,,,,,
103043,120073,3,1,1,2,2,1,1,1,3,1,2,5,3,2,1,3,1,2,1,2,3,,,,,
103044,120074,2,4,2,2,3,1,2,4,5,4,5,2,4,2,2,5,2,1,1,3,2,,,,,
103045,120075,2,1,1,1,2,3,1,2,2,2,4,5,3,2,1,5,2,2,1,1,4,,,,,
103046,120076,1,2,4,1,1,4,2,4,5,5,1,1,2,2,2,5,3,1,1,1,2,,,,,
103047,120077,1,3,1,1,1,1,2,4,3,4,3,3,3,1,1,1,2,2,1,1,1,,,,,
103048,120078,3,3,4,2,1,2,2,3,5,7,5,4,1,1,1,1,3,2,2,1,2,,,,,
103049,120079,1,4,2,1,3,2,1,4,4,2,4,2,3,1,2,4,5,1,1,1,2,,,,,
103050,120080,1,1,4,2,1,3,1,5,5,2,4,2,3,1,2,3,1,3,1,3,4,,,,,
103051,120081,3,3,3,1,3,1,2,3,4,3,2,4,1,2,1,3,2,1,3,2,2,,,,,
103052,120082,5,1,3,2,1,2,1,3,5,2,4,1,2,1,1,3,1,3,2,1,1,,,,,
103053,120083,1,3,1,2,1,2,1,2,1,4,3,2,2,2,1,2,4,3,2,4,3,,,,,
103054,120084,1,4,1,1,3,1,2,2,3,2,5,1,4,2,2,5,5,3,1,2,2,,,,,
103055,120085,1,3,1,2,2,2,2,5,2,3,1,2,1,2,2,2,4,3,3,1,3,,,,,
103056,120086,5,4,3,1,1,2,2,1,4,4,1,2,4,1,1,3,1,2,1,1,2,,,,,
103057,120087,2,1,3,1,1,3,1,1,3,2,4,4,3,1,2,1,1,1,1,3,3,,,,,
103058,120088,3,4,3,2,3,3,2,3,1,4,2,2,2,2,1,2,2,1,2,1,4,,,,,
103059,120089,3,2,1,1,1,4,1,4,4,2,3,5,4,2,1,1,4,3,1,1,2,,,,,
103060,120090,1,1,3,2,1,1,1,4,2,4,3,4,3,2,1,1,1,3,1,1,1,,,,,
103061,120091,4,3,1,1,1,2,2,4,5,1,4,2,3,1,2,2,4,1,2,3,2,,,,,
103062,120092,3,2,1,2,1,4,1,4,3,2,1,5,3,2,1,4,1,2,2,1,2,,,,,
103063,120093,1,1,2,1,1,4,2,4,5,2,2,1,3,1,1,3,3,2,1,1,2,,,,,
103064,120094,2,1,1,1,1,2,2,2,4,1,3,2,2,1,1,1,1,3,1,3,2,,,,,
103065,120095,1,3,2,2,2,1,2,4,2,4,1,2,3,2,2,3,5,1,1,1,3,,,,,
103066,120096,1,2,4,2,1,1,1,3,3,4,4,4,2,1,1,3,5,1,1,3,2,,,,,
103067,120097,4,1,1,2,1,4,2,2,2,5,5,1,2,1,2,3,2,1,4,2,2,,,,,
103068,120098,4,2,5,2,1,3,2,4,5,1,3,2,4,1,2,1,1,1,2,4,1,,,,,
103069,120099,1,3,5,2,3,3,1,4,5,1,3,1,3,2,2,4,5,3,4,1,1,,,,,
103070,120100,4,1,1,1,1,3,1,2,4,5,1,1,2,2,2,3,1,1,1,3,2,,,,,
103071,120101,2,1,4,2,1,2,1,1,3,6,4,5,4,1,1,4,2,1,2,1,2,,,,,
103072,120102,3,3,1,2,2,4,1,2,5,1,2,2,3,2,1,3,1,2,1,2,1,,,,,
103073,120103,1,1,1,1,3,1,1,4,5,5,4,2,3,2,2,3,4,3,2,1,3,,,,,
103074,120104,5,2,1,1,1,4,2,1,5,1,2,2,2,1,1,4,5,1,2,1,2,,,,,
103075,120105,5,1,1,1,2,2,1,2,1,4,4,1,3,1,1,3,1,1,1,4,1,,,,,
103076,120106,1,2,1,2,1,2,1,3,2,6,5,2,2,1,2,3,2,1,3,5,2,,,,,
103077,120107,3,1,1,2,1,4,1,1,5,4,2,3,4,1,2,4,2,3,4,1,1,,,,,
103078,120108,2,1,1,1,1,4,2,4,5,3,1,4,2,1,2,3,1,2,1,5,1,,,,,
103079,120109,2,4,1,2,1,3,1,2,4,1,5,4,3,2,2,4,1,1,1,1,2,,,,,
103080,120110,1,2,1,1,1,1,2,1,1,3,4,3,3,1,1,1,1,1,1,2,1,,,,,
103081,120111,3,2,1,1,3,1,1,3,3,5,4,2,2,1,1,1,2,2,4,3,5,,,,,
103082,120112,3,3,3,2,1,4,1,2,2,7,3,2,2,2,1,1,1,1,4,1,1,,,,,
103083,120113,3,4,1,2,1,2,2,3,1,2,4,1,4,2,1,3,5,1,1,1,2,,,,,
103084,120114,3,4,2,2,1,3,1,3,5,5,4,5,3,1,1,3,1,3,3,4,2,,,,,
103085,120115,5,4,5,2,1,3,1,1,3,2,1,5,1,1,1,4,1,1,2,2,3,,,,,
103086,120116,4,3,2,1,1,1,2,4,4,2,5,1,2,1,2,1,1,1,3,2,3,,,,,
103087,120117,1,4,3,1,2,3,1,5,5,6,5,1,3,1,1,5,5,3,3,2,2,,,,,
103088,120118,4,2,4,1,1,4,1,2,3,4,1,1,1,2,1,3,1,3,2,5,2,,,,,
103089,120119,5,1,3,1,1,1,1,1,1,1,3,1,3,1,2,3,1,1,2,5,2,,,,,
103090,120120,1,1,1,2,1,1,2,5,5,7,3,1,1,1,1,1,3,1,1,1,3,,,,,
103091,120121,3,3,2,2,1,1,1,1,5,6,4,1,3,1,1,4,5,3,3,1,2,,,,,
103092,120122,1,3,3,2,3,4,2,4,1,1,5,1,2,2,1,4,2,2,1,1,2,,,,,
103093,120123,4,3,1,2,3,3,2,1,5,5,5,2,2,1,1,3,1,1,1,1,2,,,,,
103094,120124,1,1,1,2,2,4,2,1,2,1,1,2,1,2,2,5,2,1,2,2,2,,,,,
103095,120125,3,2,5,2,3,1,2,3,5,6,3,3,4,1,1,1,4,1,2,1,2,,,,,
103096,120126,3,3,1,1,1,3,1,5,1,1,5,1,1,2,2,1,4,3,3,4,2,,,,,
103097,120127,1,2,1,2,3,1,2,4,3,4,5,2,2,2,2,3,5,1,2,3,2,,,,,
103098,120128,5,1,4,1,1,2,2,4,3,4,4,5,3,1,1,5,2,1,1,2,2,,,,,
103099,120129,1,4,5,2,1,2,1,4,5,1,3,4,4,1,2,5,5,2,3,3,2,,,,,
103100,120130,1,1,3,1,1,3,1,1,3,2,5,1,4,1,1,4,4,3,4,1,2,,,,,
103101,120131,3,1,5,2,1,3,1,5,4,4,3,5,3,1,2,3,1,3,1,1,1,,,,,
103102,120132,1,1,5,2,1,4,1,3,4,2,3,5,1,1,1,3,5,3,1,2,2,,,,,
103103,120133,1,3,1,2,1,3,2,3,3,1,5,5,3,1,1,1,1,1,4,1,1,,,,,
103104,120134,2,3,1,1,1,2,1,3,5,5,1,1,1,2,1,4,1,2,3,2,2,,,,,
103105,120135,1,1,4,1,1,1,2,2,2,4,2,4,2,2,2,1,2,2,1,2,1,,,,,
103106,120136,3,1,4,2,3,4,2,3,2,4,1,2,1,1,1,3,1,3,1,1,1,,,,,
103107,120137,5,2,1,2,3,1,1,5,3,1,4,4,3,2,2,3,1,1,3,3,3,,,,,
103108,120138,1,3,4,1,1,2,1,5,4,4,3,3,1,1,1,5,4,3,3,2,3,,,,,
103109,120139,2,3,3,2,2,1,2,3,3,4,3,3,3,2,1,3,2,3,2,1,1,,,,,
103110,120140,2,1,1,2,3,4,2,5,3,4,4,2,1,1,1,3,2,3,4,3,2,,,,,
103111,120141,3,1,4,2,2,1,1,3,4,6,1,2,4,1,1,3,3,2,1,1,2,,,,,
103112,120142,1,1,1,2,1,4,2,5,4,5,5,1,1,2,2,1,2,1,2,1,2,,,,,
103113,120143,2,3,3,2,1,2,2,2,2,4,1,2,4,1,2,3,5,3,2,1,2,,,,,
103114,120144,1,1,2,2,1,4,1,3,4,5,5,5,4,1,2,3,5,1,2,1,2,,,,,
103115,120145,1,3,1,1,2,3,1,2,5,1,2,4,1,2,2,1,1,2,3,3,2,,,,,
103116,120146,1,1,4,1,1,3,2,4,1,4,3,3,4,1,2,2,5,3,1,2,2,,,,,
103117,120147,1,3,3,2,1,3,2,4,3,1,1,4,2,1,2,5,1,3,3,1,1,,,,,
103118,120148,1,1,4,2,1,3,2,4,2,4,5,1,2,1,2,1,5,3,4,1,3,,,,,
103119,120149,2,3,1,2,3,1,2,1,1,4,5,5,3,2,1,5,2,1,1,1,1,,,,,
103120,120150,3,4,3,2,2,4,2,4,3,7,2,1,3,2,1,3,1,2,3,2,2,,,,,
103121,120151,5,3,1,2,3,4,1,3,2,3,3,4,2,2,1,5,1,1,2,3,3,,,,,
103122,120152,5,2,3,2,1,4,2,3,1,4,1,5,4,1,2,1,1,3,2,1,2,,,,,
103123,120153,1,3,3,2,2,4,1,3,3,2,1,4,2,1,1,3,3,3,1,1,3,,,,,
103124,120154,3,3,3,1,1,2,2,4,2,2,4,2,1,2,1,3,2,1,4,5,1,,,,,
103125,120155,5,1,3,1,1,3,1,3,1,1,3,4,4,2,2,5,4,1,2,2,1,,,,,
103126,120156,1,2,3,2,1,3,1,4,5,2,4,2,4,1,1,3,1,1,1,3,2,,,,,
103127,120157,1,3,3,2,3,2,1,3,4,7,5,5,1,1,1,4,2,1,1,5,3,,,,,
103128,120158,5,3,3,2,1,3,2,5,5,3,3,2,3,1,1,3,1,3,1,1,2,,,,,
103129,120159,4,3,4,1,3,3,1,3,3,2,1,2,2,2,2,2,5,3,4,1,3,,,,,
103130,120160,1,2,1,2,1,4,2,3,4,5,4,2,3,2,2,2,4,1,2,1,1,,,,,
103131,120161,2,3,1,2,1,4,2,1,3,5,2,1,3,2,2,3,2,3,2,2,2,,,,,
103132,120162,3,3,3,1,2,4,2,1,2,5,3,5,3,2,1,1,1,3,2,5,2,,,,,
103133,120163,1,1,3,1,1,4,2,3,3,4,5,3,2,1,2,4,5,3,2,1,2,,,,,
103134,120164,5,1,2,1,1,2,2,3,5,1,1,4,2,2,2,5,5,2,1,4,2,,,,,
103135,120165,1,2,1,2,1,3,2,3,2,5,1,2,4,1,2,3,1,2,1,5,2,,,,,
103136,120166,3,3,3,2,2,3,2,5,2,4,5,2,2,1,2,4,4,3,4,1,1,,,,,
103137,120167,2,3,3,1,2,2,2,5,2,1,1,1,4,1,1,3,4,1,2,1,2,,,,,
103138,120168,4,3,2,1,1,4,2,5,5,5,1,1,2,2,1,3,1,1,1,2,2,,,,,
103139,120169,4,3,4,2,1,4,1,2,2,4,1,4,3,2,2,3,5,3,1,1,2,,,,,
103140,120170,1,1,5,2,3,3,2,5,2,7,5,1,2,1,1,4,3,1,1,3,3,,,,,
103141,120171,1,4,1,1,3,2,2,2,4,1,3,2,2,2,2,1,1,1,2,2,3,,,,,
103142,120172,2,2,2,2,3,3,2,4,2,6,3,2,1,2,2,1,2,1,2,3,2,,,,,
103143,120173,4,4,4,2,1,4,2,5,5,6,3,2,4,1,1,1,5,3,2,2,4,,,,,
103144,120174,1,4,2,1,1,4,2,2,5,6,1,2,3,1,1,2,4,2,1,3,1,,,,,
103145,120175,4,1,3,1,2,1,2,2,5,4,3,1,4,1,2,1,4,1,3,1,2,,,,,
103146,120176,2,1,2,2,1,1,1,3,2,4,5,5,1,1,1,1,2,2,3,2,2,,,,,
103147,120177,3,1,3,2,3,1,1,4,3,1,3,5,1,2,2,1,1,2,1,5,2,,,,,
103148,120178,1,1,4,1,3,4,2,3,5,6,1,4,3,2,1,1,1,1,2,1,2,,,,,
103149,120179,3,2,3,2,2,2,1,2,2,7,1,1,2,1,2,1,3,2,1,1,1,,,,,
103150,120180,2,1,4,2,1,1,2,3,5,4,2,3,2,1,2,1,1,2,4,2,2,,,,,
103151,120181,5,3,4,2,1,3,1,1,5,4,4,4,3,1,2,1,2,3,2,2,3,,,,,
103152,120182,2,2,1,1,3,3,1,2,5,4,5,1,3,2,1,3,5,1,1,1,2,,,,,
103153,120183,5,4,1,2,1,1,1,2,1,4,1,4,4,1,1,3,1,1,2,1,3,,,,,
103154,120184,2,3,1,2,3,4,2,5,5,6,4,4,2,1,1,5,2,1,4,1,2,,,,,
103155,120185,1,4,2,1,2,1,2,4,2,6,4,4,2,1,1,1,1,3,1,2,2,,,,,
103156,120186,5,1,4,2,2,4,1,4,3,7,3,1,4,1,1,4,2,2,1,5,1,,,,,
103157,120187,4,3,1,1,2,4,1,4,2,5,5,5,2,1,2,3,1,3,3,1,1,,,,,
103158,120188,1,2,3,1,1,3,2,3,5,2,5,4,1,1,2,3,1,3,3,4,1,,,,,
103159,120189,2,3,1,2,3,2,1,1,5,5,1,4,4,2,2,3,3,3,2,1,4,,,,,
103160,120190,4,1,4,1,1,3,2,4,1,1,5,1,1,2,1,3,4,1,2,5,1,,,,,
103161,120191,3,4,1,1,2,1,2,3,1,1,4,5,4,1,1,4,5,1,1,2,5,,,,,
103162,120192,5,1,4,2,2,3,2,5,4,2,3,2,4,2,1,3,1,2,1,1,2,,,,,
103163,120193,2,1,1,1,1,4,1,4,2,2,5,3,4,1,2,3,1,3,4,1,4,,,,,
103164,120194,2,1,5,2,3,3,1,2,4,1,5,2,3,1,2,3,2,2,1,1,2,,,,,
103165,120195,3,3,4,1,1,4,1,2,2,2,5,5,1,1,2,3,5,1,1,1,2,,,,,
103166,120196,1,2,1,1,1,1,1,4,2,1,2,4,4,2,1,3,1,2,1,1,2,,,,,
103167,120197,1,2,1,1,1,1,2,3,2,5,4,4,4,1,1,2,5,2,1,2,3,,,,,
103168,120198,4,3,4,2,3,3,1,5,1,1,5,2,3,1,2,5,4,2,1,1,2,,,,,
103169,120199,3,3,1,1,1,2,2,5,5,3,4,2,2,2,2,3,1,1,3,2,4,,,,,
103170,120200,4,4,2,1,1,4,1,2,3,2,5,1,4,1,1,3,1,3,1,2,2,,,,,
103171,120201,5,3,4,1,1,3,1,1,5,3,1,5,2,2,1,3,2,3,1,5,2,,,,,
103172,120202,1,3,1,2,1,1,2,5,5,4,1,1,4,2,2,4,1,1,3,2,3,,,,,
103173,120203,3,3,4,1,1,3,1,3,3,2,1,2,2,1,2,3,1,1,3,3,1,,,,,
103174,120204,1,1,1,2,1,3,2,1,5,2,5,5,2,1,2,3,2,3,1,1,2,,,,,
103175,120205,3,4,1,1,2,4,2,5,3,6,1,1,2,2,1,1,1,1,1,2,5,,,,,
103176,120206,3,3,5,2,3,2,1,1,4,2,4,5,3,2,1,1,2,3,4,1,2,,,,,
103177,120207,2,2,5,2,3,3,1,2,3,3,5,1,1,2,1,3,2,3,1,1,5,,,,,
103178,120208,2,1,3,1,2,3,2,4,3,2,1,1,3,1,1,3,1,3,1,2,1,,,,,
103179,120209,1,3,4,2,3,1,2,3,1,5,5,2,2,2,2,3,5,1,4,5,1,,,,,
103180,120210,5,3,5,2,3,1,2,2,2,2,3,1,2,1,2,4,2,1,1,1,1,,,,,
103181,120211,3,4,2,2,1,1,1,5,4,4,3,4,4,1,1,3,2,3,1,5,2,,,,,
103182,120212,1,4,1,1,1,2,2,3,3,4,2,5,2,1,2,1,2,1,1,2,2,,,,,
103183,120213,3,4,5,2,1,4,1,3,5,1,2,3,3,1,1,5,1,2,2,2,3,,,,,
103184,120214,5,3,5,1,2,2,1,4,2,4,5,2,3,2,1,3,4,3,2,1,1,,,,,
103185,120215,5,2,4,2,1,3,1,4,4,5,3,4,4,1,1,3,1,1,1,2,2,,,,,
103186,120216,1,1,4,2,1,2,2,4,5,3,3,4,1,1,2,3,1,3,4,1,1,,,,,
103187,120217,4,1,3,2,2,2,2,3,5,4,4,3,4,2,1,1,5,1,4,2,3,,,,,
103188,120218,1,2,1,2,1,3,2,5,5,5,2,4,3,1,2,3,2,1,4,1,2,,,,,
103189,120219,3,4,1,1,1,3,1,5,2,2,5,1,4,1,2,3,2,3,3,5,2,,,,,
103190,120220,1,3,5,2,1,4,1,4,3,4,1,2,1,1,1,3,1,1,1,1,2,,,,,
103191,120221,3,2,1,2,1,1,2,3,1,3,3,5,4,2,1,3,1,1,1,1,2,,,,,
103192,120222,1,1,1,2,3,3,1,2,4,2,3,4,2,1,1,1,4,1,4,5,3,,,,,
103193,120223,5,3,3,2,1,2,2,5,2,5,2,4,4,2,1,4,5,2,3,4,1,,,,,
103194,120224,1,4,3,2,1,3,2,5,5,6,5,4,3,1,1,1,2,2,1,1,1,,,,,
103195,120225,1,1,1,1,1,3,2,4,3,2,5,2,2,1,2,5,5,1,3,1,2,,,,,
103196,120226,4,3,3,1,1,1,1,2,3,1,2,5,2,1,2,3,1,1,2,4,2,,,,,
103197,120227,2,2,1,1,1,1,1,1,5,5,4,5,1,2,2,2,5,1,1,2,3,,,,,
103198,120228,2,2,1,2,1,4,1,1,1,5,1,2,3,1,1,1,2,3,2,2,2,,,,,
103199,120229,2,1,3,2,3,2,1,3,4,4,3,1,3,2,1,3,1,2,1,1,1,,,,,
103200,120230,1,1,2,1,1,1,1,3,5,2,3,4,2,2,2,5,2,3,1,1,1,,,,,
103201,120231,1,4,3,2,1,3,2,4,4,2,3,3,3,1,1,1,2,3,4,1,3,,,,,
103202,120232,3,3,1,2,1,4,2,5,3,1,5,1,3,1,2,3,1,1,1,2,2,,,,,
103203,120233,1,3,1,1,1,2,1,3,4,1,5,1,2,2,1,1,5,2,2,3,3,,,,,
103204,120234,3,1,5,1,1,3,2,4,4,1,3,2,2,2,1,5,2,3,2,1,2,,,,,
103205,120235,5,4,1,1,1,1,1,3,4,2,3,5,2,1,2,3,3,1,2,5,1,,,,,
103206,120236,5,4,2,2,1,2,2,2,5,3,3,2,2,2,1,4,1,3,2,4,2,,,,,
103207,120237,1,1,1,2,1,4,2,2,3,2,1,3,1,2,2,4,2,3,2,1,2,,,,,
103208,120238,5,1,3,1,2,4,2,3,5,4,4,1,4,2,1,3,2,2,3,4,1,,,,,
103209,120239,2,3,3,2,2,2,2,4,4,5,2,1,3,1,1,4,2,1,3,1,2,,,,,
103210,120240,1,4,3,1,3,1,2,5,2,2,2,5,4,1,1,2,2,3,1,3,1,,,,,
103211,120241,1,1,3,1,2,4,2,2,1,2,3,4,2,2,2,5,4,3,1,1,1,,,,,
103212,120242,5,1,5,1,1,3,1,3,3,3,3,2,1,1,1,3,1,1,4,4,4,,,,,
103213,120243,3,4,2,1,2,2,2,4,1,5,3,1,3,1,1,1,2,1,2,1,3,,,,,
103214,120244,5,1,5,2,1,1,2,4,3,3,1,2,4,1,2,3,5,3,3,1,1,,,,,
103215,120245,2,4,4,1,1,3,1,1,1,2,3,2,2,1,2,3,2,2,2,2,3,,,,,
103216,120246,2,3,4,1,1,3,1,2,1,4,1,2,3,1,2,3,2,3,1,2,3,,,,,
103217,120247,2,1,2,1,3,1,1,4,2,2,3,4,4,1,1,3,1,1,2,2,2,,,,,
103218,120248,4,4,3,2,3,4,2,4,4,3,3,3,3,1,2,5,1,1,1,1,1,,,,,
103219,120249,1,1,3,1,2,3,1,1,1,3,3,1,4,1,2,1,2,1,3,5,2,,,,,
103220,120250,3,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,,,,,
103221,120251,1,2,4,2,1,2,2,4,2,4,1,2,1,2,2,1,1,1,2,2,2,,,,,
103222,120252,5,3,1,1,3,3,2,4,3,4,5,5,2,2,2,1,4,3,1,2,2,,,,,
103223,120253,1,3,2,2,3,1,2,3,3,5,3,1,4,2,1,5,1,1,2,3,2,,,,,
103224,120254,2,2,2,1,1,3,2,2,5,1,1,1,2,1,2,3,2,2,2,1,2,,,,,
103225,120255,1,2,2,1,1,4,2,1,2,4,3,2,2,2,2,2,5,1,1,1,2,,,,,
103226,120256,3,1,2,1,2,1,1,4,1,4,1,1,2,2,2,3,1,3,1,1,2,,,,,
103227,120257,5,1,1,1,3,1,2,2,2,5,5,1,3,2,1,3,2,2,2,1,3,,,,,
103228,120258,2,4,4,2,1,4,2,3,4,2,3,1,3,1,1,1,1,1,1,1,2,,,,,
103229,120259,4,2,4,2,2,1,1,1,5,6,5,1,3,2,2,3,2,1,3,4,2,,,,,
103230,120260,1,3,3,1,1,2,2,4,5,6,1,2,3,2,1,3,3,3,3,1,3,,,,,
103231,120261,5,4,5,1,1,4,1,5,3,5,2,3,4,2,2,4,2,3,4,3,2,,,,,
103232,120262,2,3,3,2,1,4,2,5,5,4,5,3,4,1,1,3,2,3,1,2,3,,,,,
103233,120263,5,3,3,1,1,1,2,5,2,2,2,3,1,1,2,1,2,3,2,5,2,,,,,
103234,120264,1,1,4,1,1,4,1,1,5,4,1,1,2,2,1,3,1,1,4,2,2,,,,,
103235,120265,2,4,5,2,2,4,2,5,5,5,2,1,3,2,2,2,5,1,4,5,1,,,,,
103236,120266,3,4,3,1,1,3,2,5,3,3,5,1,3,1,2,1,1,3,4,2,2,,,,,
103237,120267,2,3,1,1,1,4,2,2,3,2,5,1,4,1,1,1,1,1,4,2,2,,,,,
103238,120268,4,4,4,1,1,2,1,3,2,4,2,5,2,2,1,1,2,1,1,1,3,,,,,
103239,120269,3,1,2,1,1,1,1,5,1,5,5,5,2,1,2,1,4,1,1,1,2,,,,,
103240,120270,4,1,4,2,2,3,1,1,5,4,4,5,4,1,1,1,1,3,3,1,2,,,,,
103241,120271,5,3,3,1,1,2,2,4,1,4,4,2,1,1,1,1,2,1,3,1,2,,,,,
103242,120272,5,4,3,2,1,1,2,2,4,5,4,1,3,1,2,3,3,2,1,2,2,,,,,
103243,120273,2,2,4,2,1,4,2,4,2,4,3,1,2,1,2,3,1,3,2,3,1,,,,,
103244,120274,4,1,4,2,1,2,2,1,5,4,3,4,2,1,1,3,3,3,1,3,1,,,,,
103245,120275,2,3,1,2,1,1,1,1,3,5,3,2,3,2,1,4,5,2,2,5,2,,,,,
103246,120276,1,4,4,2,1,2,2,4,5,3,5,1,2,1,1,1,5,2,1,2,4,,,,,
103247,120277,1,2,3,1,1,4,2,1,1,2,3,1,3,2,1,1,1,1,1,5,5,,,,,
103248,120278,5,3,2,2,1,1,2,2,2,4,5,2,3,1,1,3,2,3,2,2,3,,,,,
103249,120279,3,1,3,1,1,2,2,3,2,1,4,1,3,1,1,5,4,3,2,3,1,,,,,
103250,120280,2,1,3,1,1,2,2,4,1,4,1,5,2,1,1,3,1,1,2,2,1,,,,,
103251,120281,3,1,2,1,2,3,2,3,5,7,4,1,4,2,1,3,1,1,3,1,2,,,,,
103252,120282,3,1,3,2,2,1,2,4,2,1,4,2,2,1,2,3,2,2,1,2,2,,,,,
103253,120283,5,4,2,1,1,3,1,5,2,3,4,1,2,2,2,1,2,3,2,2,2,,,,,
103254,120284,4,4,1,1,1,2,1,4,1,4,4,2,3,2,1,4,1,3,1,4,2,,,,,
103255,120285,2,1,1,2,2,3,1,3,3,2,5,2,1,1,1,3,5,2,4,3,3,,,,,
